New run of the Duchamp sourcefinder: Thu May 17 11:53:14 2007
Executing statement : ./Duchamp -p verification/input3 

---- Parameters ----
Image to be analysed.........................[imageFile]  =  verification/verificationCube.fits
Intermediate Logfile...........................[logFile]  =  verification/log3.txt
Final Results file.............................[outFile]  =  verification/results3.txt
Spectrum file..............................[spectraFile]  =  verification/spectra3.ps
Display a map in a pgplot xwindow?.........[flagXOutput]  =  true
Saving reconstructed cube?.............[flagOutputRecon]  =  false
Saving residuals from reconstruction?..[flagOutputResid]  =  false
------
Trimming Blank Pixels?........................[flagTrim]  =  false
Searching for Negative features?..........[flagNegative]  =  false
Removing Milky Way channels?....................[flagMW]  =  false
Beam Size (pixels)......................................  =  10.1788
Removing baselines before search?.........[flagBaseline]  =  false
Smoothing each spectrum first?..............[flagSmooth]  =  false
Using A Trous reconstruction?...............[flagATrous]  =  true
Number of dimensions in reconstruction........[reconDim]  =  1
Minimum scale in reconstruction...............[scaleMin]  =  1
SNR Threshold within reconstruction...........[snrRecon]  =  3
Filter being used for reconstruction........[filterCode]  =  1 (B3 spline function)
Using FDR analysis?............................[flagFDR]  =  false
SNR Threshold (in sigma)........................[snrCut]  =  3
Minimum # Pixels in a detection.................[minPix]  =  2
Minimum # Channels in a detection..........[minChannels]  =  2
Growing objects after detection?............[flagGrowth]  =  false
Using Adjacent-pixel criterion?...........[flagAdjacent]  =  true
Max. velocity separation for merging....[threshVelocity]  =  7
Method of spectral plotting.............[spectralMethod]  =  peak
Type of object centre used in results......[pixelCentre]  =  centroid
--------------------

--------------------------------------------------------------------------------
 Obj#     X     Y     Z     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix
                        [Jy/beam] [Jy/beam]                                [pix]
--------------------------------------------------------------------------------
  120  73.0  97.0 127.0     3.622     3.622   3.72  73  73  97  97 127 127     1
=-=-=-=-=-=-=-
Cube summary
=-=-=-=-=-=-=-
100x100x128
5 detections:
--------------
Detection #1
24 26 14
24 23 14
24 24 14
25 25 14
26 24 14
27 24 14
27 25 14
27 26 14
24 27 14
26 27 14
23 24 15
24 24 15
25 24 15
26 24 15
27 24 15
28 24 15
24 23 15
25 23 15
26 23 15
26 22 15
23 25 15
24 25 15
25 25 15
26 25 15
27 25 15
23 26 15
24 26 15
26 26 15
27 26 15
24 27 15
25 27 15
26 27 15
26 28 15
22 24 16
23 24 16
24 24 16
25 24 16
26 24 16
27 24 16
28 24 16
29 24 16
30 24 16
23 23 16
24 23 16
25 23 16
26 23 16
27 23 16
24 22 16
25 22 16
26 22 16
27 22 16
22 25 16
23 25 16
24 25 16
25 25 16
26 25 16
27 25 16
28 25 16
22 26 16
23 26 16
24 26 16
25 26 16
26 26 16
27 26 16
23 27 16
24 27 16
25 27 16
26 27 16
27 27 16
24 28 16
26 28 16
27 28 16
26 29 16
21 27 17
22 27 17
23 27 17
24 27 17
25 27 17
26 27 17
27 27 17
28 27 17
22 23 17
23 23 17
24 23 17
25 23 17
26 23 17
27 23 17
28 23 17
23 22 17
24 22 17
25 22 17
26 22 17
27 22 17
24 21 17
26 21 17
29 22 17
22 24 17
23 24 17
24 24 17
25 24 17
26 24 17
27 24 17
28 24 17
29 24 17
22 25 17
23 25 17
24 25 17
25 25 17
26 25 17
27 25 17
28 25 17
29 25 17
22 26 17
23 26 17
24 26 17
25 26 17
26 26 17
27 26 17
28 26 17
29 26 17
23 28 17
24 28 17
25 28 17
26 28 17
27 28 17
23 29 17
25 29 17
26 29 17
20 24 18
21 24 18
22 24 18
23 24 18
